ppm,S200538,S200624,S200627,S200725,S200547,S202042,S200796,S200793,S201032,S200610,S200607,S200820,S200071
PPM0.7065,325.2781,431.7259,306.3602,863.436,349.8585,276.7388,524.2833,392.9121,246.8319,273.3163,269.9452,322.5534,194.1305
PPM0.7055,327.8528,424.7936,299.759,879.5963,366.6893,265.6399,510.9419,388.7149,254.7385,267.7265,293.7939,323.224,164.4096
PPM0.7045,357.9886,431.9695,277.3991,920.3732,386.4345,258.6197,525.5478,406.8777,261.3457,247.2893,294.024,314.4351,151.0974
PPM0.7035,378.8855,422.601,278.9575,941.9271,417.4548,246.5602,560.2483,384.1864,270.5886,210.5714,285.8566,324.0733,189.6042
PPM0.7025,378.6606,448.9825,274.1671,992.2138,428.0229,261.1387,568.1422,378.1913,271.5992,220.2807,285.9651,321.274,217.3081
PPM0.7015,360.4568,467.4966,258.0376,1061.1397,402.5906,286.3932,562.3505,400.3703,266.0477,213.1741,275.6121,317.5272,239.826
PPM0.7005,354.4635,483.863,252.8414,1131.379,393.6577,310.8953,581.8553,451.2463,266.9581,203.0613,302.5084,329.211,252.77
PPM0.6995,371.2844,504.1861,270.6656,1169.4885,361.2372,336.6214,609.4635,474.3012,273.5944,201.0868,309.6264,316.2946,228.3091
PPM0.6985,368.5881,487.5076,283.1462,1208.6569,390.9351,361.0227,616.3304,469.2813,278.5276,213.4525,299.2289,330.5785,211.8609
PPM0.6975,375.8845,491.6215,276.5918,1273.2199,442.9053,365.2101,608.1748,462.9526,291.8079,239.9133,299.9629,355.0715,216.242
PPM0.6965,388.9146,511.0878,281.863,1319.6491,456.6283,372.0915,593.9397,480.0408,291.5311,238.3969,282.2961,373.8861,227.3233
PPM0.6955,391.1192,522.7303,296.2822,1363.877,457.2747,382.7916,622.2853,471.0241,276.3165,244.7525,247.4417,354.2598,211.7191
PPM0.6945,371.3974,531.9893,287.3209,1388.5511,452.2998,391.9143,644.8747,453.2957,269.5989,237.3562,235.6433,314.9315,177.1044
PPM0.6935,375.8782,551.56,260.0069,1368.7006,454.6191,363.5652,643.1353,455.6612,277.6577,248.3844,226.5905,309.1375,185.5626
